company_name,company_domain,pais,ciudad,profile_key,target_leads,selected_for_run,status,last_run_at,linea_detectada,linea_raw,company_url_raw,source_file,source_sheet
Tequila Herradura (Brown-Forman México),herradura.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.herradura.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tequila José Cuervo (Becle),cuervo.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.cuervo.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Ternium México,mx.ternium.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://mx.ternium.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Terranum,terranum.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://terranum.com/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tetra Pak México,tetrapak.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.tetrapak.com/es-mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tiendas D1,d1.com.co,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://d1.com.co/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tostadas Charras,tostadascharras.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.tostadascharras.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Toyota México,toyota.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.toyota.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Transportes Vigía,transportesvigia.com,Colombia,,intralogistics_ops,10,False,pending,,Intralogistica,,https://transportesvigia.com/,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Traxión / Solística,traxion.global,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.traxion.global,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tresguerras,tresguerras.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.tresguerras.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tyson Foods México,tysonfoods.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.tysonfoods.com,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
Tía Rosa (Grupo Bimbo),tiarosa.com.mx,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.tiarosa.com.mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
UPS México,ups.com,México,,intralogistics_ops,10,False,pending,,Intralogistica,"MATEC | LÍNEA LOGÍSTICA, SOLUMAT",https://www.ups.com/mx,C:\Users\Juan\Downloads\PROSPECCIÓN\Línea Solumat\BASE DE DATOS SOLUMAT.xlsx,Base de Datos
