COMPANY NAME,source,pais,sector
MOLINOS ROA FLORHUILA,ALIMENTICIO,Colombia,Alimentos/Bebidas
ALIANZA TEAM,ALIMENTICIO,Colombia,Alimentos/Bebidas
MOLINO DE ARROZ BOLUGA,ALIMENTICIO,Colombia,Alimentos/Bebidas
ACEITES MANUELITA,ALIMENTICIO,Colombia,Alimentos/Bebidas
INGREDION COLOMBIA,ALIMENTICIO,Colombia,Alimentos/Bebidas
LLOREDA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
GRULLA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
MOLINO LAS MERCEDES,ALIMENTICIO,Colombia,Alimentos/Bebidas
NESTLE DE COLOMBIA,ALIMENTICIO,Colombia,Alimentos/Bebidas
BIMBO DE COLOMBIA,ALIMENTICIO,Colombia,Alimentos/Bebidas
PRODUCTOS RAMO,ALIMENTICIO,Colombia,Alimentos/Bebidas
COMESTIBLES SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
SUPER DE ALIMENTOS,ALIMENTICIO,Colombia,Alimentos/Bebidas
MONDELEZ COLOMBIA,ALIMENTICIO,Colombia,Alimentos/Bebidas
KELLOGG'S COLOMBIA,ALIMENTICIO,Colombia,Alimentos/Bebidas
QUALA,ALIMENTICIO,Colombia,Alimentos/Bebidas
UNILEVER ANDINA,ALIMENTICIO,Colombia,Alimentos/Bebidas
LEVAPAN,ALIMENTICIO,Colombia,Alimentos/Bebidas
TOSTADORA DE CAFÉ SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
DESCAFECOL SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
INDEGA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
INDUSTRIA NACIONAL DE GASEOSAS SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
ITALCOL SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
GASEOSAS LUX SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
COMAPAN SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
INDUSTRIAS TOMY SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
MANITOBA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
BRINSA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
GRIFFITH COLOMBIA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
COMPAÑÍA INTERNACIONAL DE ALIMENTOS SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
VIDECOL SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
TECNAS SA BIC,ALIMENTICIO,Colombia,Alimentos/Bebidas
NUTRISER COLOMBIA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
PRODUCTOS VICKY SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
FABRICA DE ESPECIAS Y PRODUCTOS EL REY SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
RICH DE COLOMBIA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
CI NUTREO SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
ALIMENTOS POLAR COLOMBIA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
ORGANIZACIÓN SOLARTE Y CIA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
SOBERANA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
MOLINOS DEL ATLANTICO SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
GRANOS Y CEREALES DE COLOMBIA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
ARROCERA LA ESMERALDA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
FEDERAL SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
MOLINOS SANTA MARTA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
HARINERA INDUPAN SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
INDUSTRIA DE HARINAS TULUA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
INDUSTRIA MOLINERA DE CALDAS SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
ARROCERA GELVEZ SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
BAGGRIT DE COLOMBIA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
COMESTIBLES LA ROSA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
ALGRANO COLOMBIA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
ARROZ BARICHARA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
PROCESADORA NACIONAL DE CEREALES SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
GOLOSINAS TRULULU,ALIMENTICIO,Colombia,Alimentos/Bebidas
DULCES LA AMERICANA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
CACAO DE COLOMBIA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
QBCO SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
PASTAS COMARRICO,ALIMENTICIO,Colombia,Alimentos/Bebidas
GAVASSA Y CIA LTDA,ALIMENTICIO,Colombia,Alimentos/Bebidas
PRODUCTOS ALIMENTICIOS SIMONETTA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
ALIMENTOS EL DORADO SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
ALMIDONES DE SUCRE SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
POLTEC SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
INGENIO PROVIDENCIA SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
INGENIO DEL CAUCA SAS,ALIMENTICIO,Colombia,Alimentos/Bebidas
MAYAGUEZ SA,ALIMENTICIO,Colombia,Alimentos/Bebidas
